track,html_css_js,scikitlearn,git,powerbi,numpypandas,unity,mysql,blender,arduinoraspberrypi,mongodb,team_role_excitement,game_career_preference,health_app_contribution2,interactive_3d_animations,intelligent_techniques,ml_models,advanced_data_structures,database_project,software_testing,scm_crm_bi_systems,healthcare_standards,lowlevel_3d_graphics,software_project,network_infrastructure2,microcontroller_programming,business_requirements_analysis,efficient_algorithms,system_security_reliability,system_integration,fullstack_web_developer,data_engineer,network_administrator,animator_3d,bi_consultant,healthcare_info_systems,it_project_manager,ml_engineer
DB - Database and Intelligent System,4,1,2,4,1,1,4,1,1,2,Coding the core software components and optimizing their performance,Game network engineer,Ensuring compliance with healthcare information standards requirements,2,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4
CS - Computer Science,4,2,2,1,4,4,3,1,3,2,Coding the core software components and optimizing their performance,Game QA tester,Developing data analytics and predictive models,4,4,4,4,4,3,2,1,4,1,1,3,2,4,4,3,4,4,1,4,2,2,2,3
CS - Computer Science,4,4,4,1,4,4,3,3,3,4,Coding the core software components and optimizing their performance,Game QA tester,Developing data analytics and predictive models,3,4,4,3,3,3,2,1,4,2,2,3,2,4,3,4,4,3,1,2,1,1,2,4
CS - Computer Science,4,2,3,2,3,2,2,2,2,3,Coding the core software components and optimizing their performance,Game QA tester,Developing software components according the requirements,4,3,4,4,3,4,4,2,4,3,2,2,4,3,3,3,4,4,2,3,2,2,3,4
CS - Computer Science,4,3,4,3,3,3,3,3,3,3,Coding the core software components and optimizing their performance,Game network engineer,Developing software components according the requirements,3,3,3,2,3,2,2,3,2,3,2,3,2,3,3,3,3,2,1,2,2,3,3,3
DB - Database and Intelligent System,4,2,3,1,3,2,4,1,3,4,Analyzing complex datasets to uncover meaningful insights and patterns,Game QA tester,Designing the database schema and infrastructure to store the data,3,3,4,4,4,3,2,3,1,2,2,3,3,4,4,4,4,4,2,1,1,2,3,3
SE - Software Engineering,4,2,3,1,3,1,4,1,1,2,Coding the core software components and optimizing their performance,Game QA tester,Developing software components according the requirements,1,3,2,3,2,4,2,1,1,4,2,1,4,4,2,3,4,3,3,1,3,1,3,2
CS - Computer Science,4,4,4,4,4,1,3,1,1,1,Coding the core software components and optimizing their performance,Game QA tester,Ensuring compliance with healthcare information standards requirements,1,1,4,4,4,4,2,1,1,1,1,1,4,4,4,4,3,3,1,1,3,2,2,4
CS - Computer Science,4,4,4,1,4,4,4,4,4,3,Coding the core software components and optimizing their performance,Game QA tester,Developing software components according the requirements,4,4,4,4,3,4,1,1,4,1,3,3,1,4,4,3,4,3,3,4,1,1,2,4
DB - Database and Intelligent System,4,2,4,4,4,1,4,1,4,4,Evaluating the system architecture and identifying potential vulnerabilities,Game QA tester,Ensuring that application is secured and safe from cyber threats,1,4,4,4,4,3,2,1,1,2,3,3,3,4,4,4,3,4,4,2,3,2,3,3
